,reviews
0,These are darling! I love how dainty and sparkly they are. They fit my 2nd piercing perfectly- I get worried with crawler earrings that they'll be too long. These are so cute! I'd totally buy from this seller again.
1,Absolutely stunning! I am in love with these earrings! Very fast shipping and cute packaging ❤
2,"Got these once before for me and my brides maids on my wedding day! They're perfect, mine lost a jewel somewhere along the way (a year ago, and I stored them in my coin purse, not the best place for something to beautiful!), so I decided to order another set!"
3,"I love how dainty and unique they are.  I got the gold and I'm glad I did.  You don't really notice the gold, but I feel it makes the stones pop."
4,"This is a really beautiful piece! I had been looking for a new crawler to put in my upper cartilage piercing, and it works perfect (once I figured out which one works best with my ear curve!) but it’s beautifully done and I really love the style of the baguettes in the earring! Love love love! And super quick shipping"
5,I absolutely LOVE my earrings! They are so unique and dainty. I’ve had so many compliments on them already and Connor wait to wear them for the wedding I’m in next week. I would recommend ordering from MilysDesign! My order was processed quickly and came wrapped safely in bubble wrap so the earrings wouldn’t get damaged.
6,Soooo dainty and sparkly. Can’t wait to wear them for an art-deco feel.  UPDATE: I went to bend the wire back a tad to be able to get it into my piercing hole and the whole back broke off :( hot glue won’t hold it and I’m so sad! I’ll keep the one for a mix n match look but be careful because these babies are delicate!!!
7,"These are so pretty, I've gotten lots of compliments.  If I could do it over, I'd probably go with the post backs instead of the wire, but that's just personal preference.  You do beautiful work!!!"
8,"Wasn't exactly flush to my ear like I was hoping from the picture, but I was able to move it a bit and adjust it so it was. It's beautiful otherwise! Fast shipping."
9,The pieces are beautiful and fitted. I plan on buying more soon
10,These are stunning! I absolutely love them! Same as picture!
11,"These earrings are beautiful! So dainty and classy. There’s just enough sparkle to wear them when you’re dressing up, but I also think you could wear them everyday. Very pleased with this purchase."
12,"Oh my goodness, these earrings are absolutely gorgeous! I had to try them on as soon as I got them and I am SO happy I made this purchase! They’re the perfect size and I already know I’m going to wear them all the time. Quick shipping too!"
13,Absolutely stunning! I am so happy with these earrings!
14,"So pretty!! Looks gorgeous on your ear lobe :) :) the perfect amount of sparkle and twinkle. I’m in love with them 😍
Buy them you won’t regret it!"
15,"Love them! They fit great and were exactly as advertised. It was my first time trying climber earrings, and I got the wire back."
16,I love how dainty and cute this is! My only wish was that the backing wasn’t a post and more of a longer ear jacket. But i love it!
17,So excited to have these on my wedding day. Wanted a little sparkle but not dangling!
18,They are beautiful!
19,I was hesitant about getting my first pair of crawlers bit glad I went for it. They're the perfect size! They also arrived super quickly
20,these are STUNNING!! i got the wire back and they stay in perfectly without needing to put the backs on
21,"Love these earrings. My first pair or ear climbers! A bit smaller than anticipated, but the perfect amount of sparkle. I've received so many compliments!"
22,Parfaite. Conforme aux photos j'adore !
23,The earrings are beautiful! They’re smaller than I thought it would be. It’s dainty and pretty and I’m so excited to wear them. I was a little worried when I saw the package because it looked a little beat up but the earrings were well wrapped and protected.
24,The ear rings are beautiful! I love them! Arrived fast! ❤️
25,Absolutely stunning earrings beautifully made and fast delivery even though it came from the USA to England
26,So beautiful! Thank you 🙏🏻🙏🏻
27,Dainty and it looks SO nice!
28,I received my earrings today. They are beautiful!!!! So happy with them! Thank you so much!
